run_idx,step,action,new_item,score,inventory_size,ingredients,final_reward,domain
1,5,"('frame', '[scissors]-[feather]')","('[frame]-[[scissors]-[feather]]', 45)",120,8,"[('pinecone', 0), ('rock', 0), ('[paint]-[[scissors]-[[mushroom]-[[pen]-[cardboard]]]]', 120), ('[frame]-[[scissors]-[feather]]', 45)]",130,decorations
1,6,"('[paint]-[[scissors]-[[mushroom]-[[pen]-[cardboard]]]]', '[frame]-[[scissors]-[feather]]')","('[[paint]-[[scissors]-[[mushroom]-[[pen]-[cardboard]]]]]-[[frame]-[[scissors]-[feather]]]', 130)",130,7,"[('pinecone', 0), ('rock', 0), ('[[paint]-[[scissors]-[[mushroom]-[[pen]-[cardboard]]]]]-[[frame]-[[scissors]-[feather]]]', 130)]",130,decorations
1,7,"('paint', 'pinecone')","('[paint]-[pinecone]', 15)",130,7,"[('rock', 0), ('[[paint]-[[scissors]-[[mushroom]-[[pen]-[cardboard]]]]]-[[frame]-[[scissors]-[feather]]]', 130), ('[paint]-[pinecone]', 15)]",130,decorations
1,8,"('frame', '[[paint]-[[scissors]-[[mushroom]-[[pen]-[cardboard]]]]]-[[frame]-[[scissors]-[feather]]]')","('[frame]-[[[paint]-[[scissors]-[[mushroom]-[[pen]-[cardboard]]]]]-[[frame]-[[scissors]-[feather]]]]', 130)",130,7,"[('rock', 0), ('[paint]-[pinecone]', 15), ('[frame]-[[[paint]-[[scissors]-[[mushroom]-[[pen]-[cardboard]]]]]-[[frame]-[[scissors]-[feather]]]]', 130)]",130,decorations
1,9,,,130,7,"[('rock', 0), ('[paint]-[pinecone]', 15), ('[frame]-[[[paint]-[[scissors]-[[mushroom]-[[pen]-[cardboard]]]]]-[[frame]-[[scissors]-[feather]]]]', 130)]",130,decorations
2,0,"('paint', 'sunflower')","('[paint]-[sunflower]', 15)",15,9,"[('yarn', 0), ('shell', 0), ('mushroom', 0), ('beads', 0), ('[paint]-[sunflower]', 15)]",105,decorations
2,1,"('pen', 'beads')","('[pen]-[beads]', 20)",20,9,"[('yarn', 0), ('shell', 0), ('mushroom', 0), ('[paint]-[sunflower]', 15), ('[pen]-[beads]', 20)]",105,decorations
2,2,"('[paint]-[sunflower]', '[pen]-[beads]')","('[[paint]-[sunflower]]-[[pen]-[beads]]', 65)",65,8,"[('yarn', 0), ('shell', 0), ('mushroom', 0), ('[[paint]-[sunflower]]-[[pen]-[beads]]', 65)]",105,decorations
2,3,"('paint', 'yarn')","('[paint]-[yarn]', 15)",65,8,"[('shell', 0), ('mushroom', 0), ('[[paint]-[sunflower]]-[[pen]-[beads]]', 65), ('[paint]-[yarn]', 15)]",105,decorations
2,4,"('scissors', '[paint]-[yarn]')","('[scissors]-[[paint]-[yarn]]', 35)",65,8,"[('shell', 0), ('mushroom', 0), ('[[paint]-[sunflower]]-[[pen]-[beads]]', 65), ('[scissors]-[[paint]-[yarn]]', 35)]",105,decorations
2,5,"('pen', '[scissors]-[[paint]-[yarn]]')","('[pen]-[[scissors]-[[paint]-[yarn]]]', 55)",65,8,"[('shell', 0), ('mushroom', 0), ('[[paint]-[sunflower]]-[[pen]-[beads]]', 65), ('[pen]-[[scissors]-[[paint]-[yarn]]]', 55)]",105,decorations
2,6,"('mushroom', '[pen]-[[scissors]-[[paint]-[yarn]]]')","('[mushroom]-[[pen]-[[scissors]-[[paint]-[yarn]]]]', 85)",85,7,"[('shell', 0), ('[[paint]-[sunflower]]-[[pen]-[beads]]', 65), ('[mushroom]-[[pen]-[[scissors]-[[paint]-[yarn]]]]', 85)]",105,decorations
2,7,"('scissors', '[mushroom]-[[pen]-[[scissors]-[[paint]-[yarn]]]]')","('[scissors]-[[mushroom]-[[pen]-[[scissors]-[[paint]-[yarn]]]]]', 105)",105,7,"[('shell', 0), ('[[paint]-[sunflower]]-[[pen]-[beads]]', 65), ('[scissors]-[[mushroom]-[[pen]-[[scissors]-[[paint]-[yarn]]]]]', 105)]",105,decorations
2,8,"('frame', '[scissors]-[[mushroom]-[[pen]-[[scissors]-[[paint]-[yarn]]]]]')","('[frame]-[[scissors]-[[mushroom]-[[pen]-[[scissors]-[[paint]-[yarn]]]]]]', 105)",105,7,"[('shell', 0), ('[[paint]-[sunflower]]-[[pen]-[beads]]', 65), ('[frame]-[[scissors]-[[mushroom]-[[pen]-[[scissors]-[[paint]-[yarn]]]]]]', 105)]",105,decorations
2,9,"('frame', 'shell')","('[frame]-[shell]', 25)",105,7,"[('[[paint]-[sunflower]]-[[pen]-[beads]]', 65), ('[frame]-[[scissors]-[[mushroom]-[[pen]-[[scissors]-[[paint]-[yarn]]]]]]', 105), ('[frame]-[shell]', 25)]",105,decorations
2,10,,,105,7,"[('[[paint]-[sunflower]]-[[pen]-[beads]]', 65), ('[frame]-[[scissors]-[[mushroom]-[[pen]-[[scissors]-[[paint]-[yarn]]]]]]', 105), ('[frame]-[shell]', 25)]",105,decorations
3,0,"('pen', 'paper')","('[pen]-[paper]', 20)",20,9,"[('shell', 0), ('ribbon', 0), ('acorn', 0), ('newspaper', 0), ('[pen]-[paper]', 20)]",160,decorations
3,1,"('scissors', '[pen]-[paper]')","('[scissors]-[[pen]-[paper]]', 40)",40,9,"[('shell', 0), ('ribbon', 0), ('acorn', 0), ('newspaper', 0), ('[scissors]-[[pen]-[paper]]', 40)]",160,decorations
